<6>[ 5160.546661] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5210.652465] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5260.714172] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5310.782806] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5360.860504] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5410.921386] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5460.979736] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5511.046447] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5561.116363] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5611.194946] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5664.073181] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5714.220367] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5764.364318] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5814.446044] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5864.509033] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5914.577026] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 5964.646179] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6014.712951] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6064.781005] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6114.854675] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6164.920867] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6214.989807] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6265.058349] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6315.130828] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6372.423461] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6422.517700] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6472.667663] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6522.729797] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6572.797546] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6624.076080] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6674.212554] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6724.357727] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6774.489807] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6824.547851] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6874.614257] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6924.671386] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 6974.739501] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7024.848510] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7074.921081] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7125.066009] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7175.208709] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7225.307556] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7275.407958] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7275.408325] batt: charging POKE CHARGER
<6>[ 7325.469055] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7375.555023] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7425.626037] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7475.691955] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7525.758087] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7575.823181] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7625.937561] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7675.996734] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7726.078948] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7776.154235] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7826.324523] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7876.467651] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7926.527557] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 7976.609069] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8026.680358] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8076.769073] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8126.831481] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8176.928619] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8226.997558] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8277.061553] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8327.132904] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8377.215209] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8427.317932] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8477.383789] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8527.442657] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8577.502990] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8627.599639] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8677.702270] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8727.763458] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8777.829315] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8827.895355] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8877.954071] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8928.050598] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 8978.127532] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9028.189300] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9078.250274] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9128.322265] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9178.455535] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9228.511779] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9278.749145] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9328.866577] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9378.926757] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9429.025207] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9479.128997] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9529.243347] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9579.304504] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9629.375000] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9679.437500] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9729.503997] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9779.568878] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9829.640014] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9879.695190] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9929.770507] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[ 9979.830169] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10029.885101] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10079.952636] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10130.017700] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10180.082183] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10230.146362] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10280.204650] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10330.261962] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10380.322052] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10430.385559] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10480.442993] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10530.506134] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10580.560974] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10630.626678] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10680.689117] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10730.754547] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10780.810180] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10830.869232] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10880.938079] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10880.938446] batt: charging POKE CHARGER
<6>[10931.199798] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[10981.279052] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11031.387634] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11081.467864] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11131.538940] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11184.069335] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11234.248748] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11284.352752] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11334.413482] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11384.472229] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11434.639465] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11484.713439] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11534.781036] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11584.837036] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11634.895141] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11684.964233] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11735.025848] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11801.311004] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11851.402893] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11904.072540] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[11954.130676] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12004.189697] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12054.253387] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12104.377380] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12154.450500] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12204.640167] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12254.708831] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12304.771911] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12354.850524] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12404.906799] batt: 100%, 4148 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
